program,image,radius,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
blur,im1,15,1,5,5,0.12,0.0,0.0,17702.4,127.86599999999999,106.55600000000001,0.2225,1.8541666666666667
blur,im1,15,2,5,5,0.08,0.0,0.0,17779.2,124.81199999999998,156.01399999999998,0.2225,2.78125
blur,im1,15,4,5,5,0.06,0.0,0.0,17625.6,125.898,209.83,0.2225,3.7083333333333335
blur,im1,15,8,5,4,0.05,0.0,0.0,17712.0,127.3775,254.755,0.2225,4.45
blur,im1,15,16,5,5,0.05,0.0,0.0,17740.8,140.93200000000002,281.86400000000003,0.2225,4.45
blur,im1,15,32,5,5,0.05,0.0,0.0,17664.0,149.43599999999998,298.87199999999996,0.2225,4.45
blur,im2,15,1,5,4,0.26,0.0,0.0,24659.0,282.56,108.67750000000001,0.47,1.8076923076923075
blur,im2,15,2,5,5,0.17,0.0,0.0,24660.8,274.938,161.728,0.47,2.7647058823529407
blur,im2,15,4,5,4,0.13,0.0,0.0,24087.0,273.03,210.025,0.47,3.615384615384615
blur,im2,15,8,5,5,0.12,0.0,0.0,23663.2,289.58599999999996,241.32199999999997,0.47,3.9166666666666665
blur,im2,15,16,5,5,0.11000000000000001,1.3877787807814457e-17,1.2164417350911636e-17,24813.6,301.448,274.044,0.47,4.272727272727272
blur,im2,15,32,5,5,0.11000000000000001,1.3877787807814457e-17,1.2164417350911636e-17,23508.8,343.0,311.82,0.47,4.272727272727272
blur,im3,15,1,5,4,0.48,0.0,0.0,36503.0,523.7049999999999,109.10499999999999,0.844,1.7583333333333333
blur,im3,15,2,5,4,0.32,0.0,0.0,36214.0,516.5450000000001,161.41750000000002,0.844,2.6374999999999997
blur,im3,15,4,5,5,0.244,0.00489897948556636,0.004294144850840505,35963.2,512.542,210.08800000000002,0.844,3.459016393442623
blur,im3,15,8,5,4,0.22,0.0,0.0,35542.0,546.0024999999999,248.185,0.844,3.8363636363636364
blur,im3,15,16,5,4,0.21,0.0,0.0,35203.0,616.1525,293.405,0.844,4.019047619047619
blur,im3,15,32,5,5,0.20400000000000001,0.004898979485566347,0.004294144850840494,33899.2,677.64,332.23,0.844,4.137254901960784
blur,im4,15,1,5,5,2.5460000000000003,0.01200000000000007,0.01051846376615907,135227.2,2774.084,108.958,4.2675,1.6761586802827964
blur,im4,15,2,5,4,1.7325,0.004330127018922197,0.004243524478543753,135093.0,2716.9225,156.82000000000002,4.2675,2.463203463203463
blur,im4,15,4,5,4,1.3550000000000002,0.0050000000000000044,0.004900000000000004,134875.0,2730.1949999999997,201.49,4.2675,3.1494464944649443
blur,im4,15,8,5,5,1.1919999999999997,0.007483314773547889,0.006559414608027158,134960.8,2779.8559999999998,233.212,4.2675,3.5801174496644306
blur,im4,15,16,5,5,1.138,0.007483314773547889,0.006559414608027158,133461.6,3308.004,290.692,4.2675,3.7500000000000004
blur,im4,15,32,5,4,1.13,0.007071067811865403,0.006929646455628095,133680.0,4027.165,356.37750000000005,4.2675,3.776548672566372
