program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.300000,17472,242.310,80.77,14,3,3810,time+perf
blur,im1,15,1,2,0.230000,17856,243.920,106.05,3,0,3808,time+perf
blur,im1,15,1,3,0.220000,17856,235.830,107.20,2,0,3809,time+perf
blur,im1,15,1,4,0.220000,17664,236.460,107.48,2,0,3808,time+perf
blur,im1,15,1,5,0.220000,17664,237.260,107.85,2,1,3811,time+perf
blur,im2,15,1,1,0.470000,24468,509.000,108.30,18,1,6457,time+perf
blur,im2,15,1,2,0.470000,24852,509.320,108.37,3,1,6457,time+perf
blur,im2,15,1,3,0.470000,24852,514.500,109.47,3,0,6458,time+perf
blur,im2,15,1,4,0.470000,24852,509.140,108.33,2,0,6458,time+perf
blur,im2,15,1,5,0.480000,24848,520.040,108.34,4,0,6458,time+perf
blur,im3,15,1,1,0.840000,36692,916.630,109.12,27,0,10422,time+perf
blur,im3,15,1,2,0.840000,36692,918.900,109.39,3,0,10423,time+perf
blur,im3,15,1,3,0.840000,36692,915.240,108.96,2,0,10423,time+perf
blur,im3,15,1,4,0.850000,36692,919.360,108.16,3,0,10421,time+perf
blur,im3,15,1,5,0.850000,36696,927.040,109.06,3,0,10422,time+perf
blur,im4,15,1,1,4.300000,135380,4672.860,108.67,148,0,41262,time+perf
blur,im4,15,1,2,4.240000,135380,4621.370,108.99,8,2,41262,time+perf
blur,im4,15,1,3,4.240000,135104,4625.780,109.10,4,1,41261,time+perf
blur,im4,15,1,4,4.290000,135192,4675.330,108.98,5,1,41264,time+perf
blur,im4,15,1,5,7.190000,135380,4640.400,64.54,10,0,41262,time+perf
