program,size,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
pearson,128,1,5,5,0.01,0.0,0.0,17740.8,8.782,87.82,0.02,2.0
pearson,128,2,5,5,0.01,0.0,0.0,17664.0,8.224,82.24000000000001,0.02,2.0
pearson,128,4,5,5,0.01,0.0,0.0,17702.4,8.491999999999999,84.92,0.02,2.0
pearson,128,8,5,5,0.01,0.0,0.0,17702.4,8.52,85.2,0.02,2.0
pearson,128,16,5,5,0.01,0.0,0.0,17740.8,8.964,89.64,0.02,2.0
pearson,128,32,5,5,0.01,0.0,0.0,17664.0,9.522,95.22,0.02,2.0
pearson,256,1,5,5,0.03,0.0,0.0,17664.0,31.452000000000005,104.84,0.08,2.666666666666667
pearson,256,2,5,5,0.03,0.0,0.0,17779.2,31.662,105.54,0.08,2.666666666666667
pearson,256,4,5,5,0.03,0.0,0.0,17740.8,32.32,107.73400000000001,0.08,2.666666666666667
pearson,256,8,5,5,0.03,0.0,0.0,17702.4,32.094,106.98000000000002,0.08,2.666666666666667
pearson,256,16,5,5,0.03,0.0,0.0,17779.2,32.733999999999995,109.112,0.08,2.666666666666667
pearson,256,32,5,5,0.03,0.0,0.0,17779.2,33.942,113.14000000000001,0.08,2.666666666666667
pearson,512,1,5,5,0.12,0.0,0.0,17664.0,130.398,108.66400000000002,0.466,3.8833333333333337
pearson,512,2,5,4,0.1275,0.01299038105676658,0.012730573435631248,17712.0,129.3475,102.3775,0.466,3.654901960784314
pearson,512,4,5,5,0.11599999999999999,0.004898979485566354,0.0042941448508405,17779.2,130.822,112.90799999999999,0.466,4.017241379310345
pearson,512,8,5,4,0.11,0.0,0.0,17760.0,132.08749999999998,120.07750000000001,0.466,4.236363636363636
pearson,512,16,5,5,0.11000000000000001,1.3877787807814457e-17,1.2164417350911636e-17,17702.4,131.45600000000002,119.506,0.466,4.236363636363636
pearson,512,32,5,5,0.11399999999999999,0.004898979485566353,0.004294144850840499,17779.2,134.042,117.74600000000001,0.466,4.087719298245615
pearson,1024,1,5,4,0.54,0.0,0.0,40512.0,584.905,108.315,3.2525,6.023148148148148
pearson,1024,2,5,4,0.51,0.0,0.0,40320.0,581.0425,113.93,3.2525,6.377450980392156
pearson,1024,4,5,4,0.48,0.0,0.0,40320.0,583.2675,121.51249999999999,3.2525,6.776041666666667
pearson,1024,8,5,5,0.4600000000000001,5.551115123125783e-17,4.8657669403646546e-17,40320.0,591.804,128.654,3.2525,7.070652173913042
pearson,1024,16,5,4,0.45,0.0,0.0,40512.0,602.3225,133.8525,3.2525,7.227777777777778
pearson,1024,32,5,4,0.45,0.0,0.0,40464.0,614.2625,136.5025,3.2525,7.227777777777778
